NSID	HHID	W7MODE	W7QSAMEAD	W7QANYSTA	W7INCAR	W7LIVERELAT	W7SHGINT	W7SEX	W7RELATION
NS10134G	1	2	1	-91	-91	-91	4	-91	-91
NS10134G	2	2	1	-91	-91	-91	1	-91	-91
NS10134G	3	2	1	-91	-91	-91	1	-91	-91
NS10134G	4	2	1	-91	-91	-91	3	-91	-91
NS10134G	5	2	1	-91	-91	-91	1	-91	-91
NS10134G	6	2	1	-91	-91	-91	1	-91	-91
NS10138L	1	2	1	-91	-91	-91	4	-91	-91
NS10138L	2	2	1	-91	-91	-91	1	-91	-91
NS10138L	3	2	1	-91	-91	-91	1	-91	-91
NS10138L	4	2	1	-91	-91	-91	3	-91	-91
NS10138L	5	2	1	-91	-91	-91	1	-91	-91
NS10138L	6	2	1	-91	-91	-91	1	-91	-91
NS10138L	7	2	1	-91	-91	-91	3	-91	-91
NS10138L	8	2	1	-91	-91	-91	3	-91	-91
NS10138L	9	2	1	-91	-91	-91	2	2	6
NS10139M	1	3	1	-91	-91	-91	4	-91	-91
NS10139M	2	3	1	-91	-91	-91	1	-91	-91
NS10139M	3	3	1	-91	-91	-91	1	-91	-91
NS10139M	4	3	1	-91	-91	-91	1	-91	-91
NS10140X	1	1	1	-91	-91	-91	4	-91	-91
NS10140X	2	1	1	-91	-91	-91	1	-91	-91
NS10140X	3	1	1	-91	-91	-91	0	-91	-91
NS10140X	4	1	1	-91	-91	-91	2	1	3
NS10140X	5	1	1	-91	-91	-91	2	1	5
NS10141Y	1	2	1	-91	-91	-91	4	-91	-91
NS10141Y	2	2	1	-91	-91	-91	0	-91	-91
NS10141Y	3	2	1	-91	-91	-91	0	-91	-91
NS10141Y	4	2	1	-91	-91	-91	0	-91	-91
NS10141Y	5	2	1	-91	-91	-91	2	1	3
NS10143A	1	2	1	-91	-91	-91	4	-91	-91
NS10143A	2	2	1	-91	-91	-91	1	-91	-91
NS10143A	3	2	1	-91	-91	-91	1	-91	-91
NS10143A	4	2	1	-91	-91	-91	1	-91	-91
NS10143A	5	2	1	-91	-91	-91	1	-91	-91
NS10144B	1	3	1	-91	-91	-91	4	-91	-91
NS10144B	2	3	1	-91	-91	-91	1	-91	-91
NS10144B	3	3	1	-91	-91	-91	1	-91	-91
NS10144B	4	3	1	-91	-91	-91	1	-91	-91
NS10145C	1	2	1	-91	-91	-91	4	-91	-91
NS10145C	2	2	1	-91	-91	-91	1	-91	-91
NS10145C	3	2	1	-91	-91	-91	1	-91	-91
NS10145C	4	2	1	-91	-91	-91	1	-91	-91
NS10145C	5	2	1	-91	-91	-91	1	-91	-91
NS10145C	6	2	1	-91	-91	-91	1	-91	-91
NS10145C	7	2	1	-91	-91	-91	1	-91	-91
NS10146D	1	3	1	-91	-91	-91	4	-91	-91
NS10146D	2	3	1	-91	-91	-91	1	-91	-91
NS10146D	3	3	1	-91	-91	-91	1	-91	-91
NS10146D	4	3	1	-91	-91	-91	1	-91	-91
NS10146D	5	3	1	-91	-91	-91	1	-91	-91
NS10147E	1	1	1	-91	-91	-91	4	-91	-91
NS10147E	2	1	1	-91	-91	-91	1	-91	-91
NS10147E	3	1	1	-91	-91	-91	1	-91	-91
NS10147E	4	1	1	-91	-91	-91	0	-91	-91
NS10147E	5	1	1	-91	-91	-91	3	-91	-91
NS10147E	6	1	1	-91	-91	-91	1	-91	-91
NS10147E	7	-91	-91	-91	-91	-91	0	-91	-91
NS10149G	1	2	1	-91	-91	-91	4	-91	-91
NS10149G	2	2	1	-91	-91	-91	1	-91	-91
NS10149G	3	2	1	-91	-91	-91	1	-91	-91
NS10152T	1	2	1	-91	-91	-91	4	-91	-91
NS10152T	2	2	1	-91	-91	-91	1	-91	-91
NS10152T	3	2	1	-91	-91	-91	1	-91	-91
NS10152T	4	2	1	-91	-91	-91	0	-91	-91
NS10152T	5	2	1	-91	-91	-91	1	-91	-91
NS10152T	6	2	1	-91	-91	-91	1	-91	-91
NS10154W	1	3	1	-91	-91	-91	4	-91	-91
NS10154W	2	3	1	-91	-91	-91	1	-91	-91
NS10154W	3	3	1	-91	-91	-91	1	-91	-91
NS10154W	4	3	1	-91	-91	-91	1	-91	-91
NS10154W	5	3	1	-91	-91	-91	1	-91	-91
NS10155X	1	2	1	-91	-91	-91	4	-91	-91
NS10155X	2	2	1	-91	-91	-91	1	-91	-91
NS10155X	3	2	1	-91	-91	-91	0	-91	-91
NS10155X	4	2	1	-91	-91	-91	1	-91	-91
NS10155X	5	2	1	-91	-91	-91	1	-91	-91
NS10158A	1	3	1	-91	-91	-91	4	-91	-91
NS10158A	2	3	1	-91	-91	-91	1	-91	-91
NS10158A	3	3	1	-91	-91	-91	1	-91	-91
NS10158A	4	3	1	-91	-91	-91	1	-91	-91
NS10160L	1	2	1	-91	-91	-91	4	-91	-91
NS10160L	2	2	1	-91	-91	-91	1	-91	-91
NS10160L	3	2	1	-91	-91	-91	1	-91	-91
NS10160L	4	2	1	-91	-91	-91	1	-91	-91
NS10160L	5	2	1	-91	-91	-91	1	-91	-91
NS10160L	6	2	1	-91	-91	-91	1	-91	-91
NS10161M	1	3	1	-91	-91	-91	4	-91	-91
NS10161M	2	3	1	-91	-91	-91	1	-91	-91
NS10161M	3	3	1	-91	-91	-91	0	-91	-91
NS10161M	4	3	1	-91	-91	-91	0	-91	-91
NS10161M	5	-91	-91	-91	-91	-91	0	-91	-91
NS10161M	6	-91	-91	-91	-91	-91	0	-91	-91
NS10161M	7	-91	-91	-91	-91	-91	0	-91	-91
NS10161M	8	3	1	-91	-91	-91	1	-91	-91
NS10161M	9	3	1	-91	-91	-91	1	-91	-91
NS10164Q	1	2	1	-91	-91	-91	4	-91	-91
NS10164Q	2	2	1	-91	-91	-91	1	-91	-91
NS10164Q	3	2	1	-91	-91	-91	1	-91	-91
NS10164Q	4	2	1	-91	-91	-91	1	-91	-91
NS10164Q	5	2	1	-91	-91	-91	1	-91	-91
NS10165R	1	3	1	-91	-91	-91	4	-91	-91
NS10165R	2	3	1	-91	-91	-91	1	-91	-91
NS10165R	3	3	1	-91	-91	-91	1	-91	-91
NS10165R	4	-91	-91	-91	-91	-91	0	-91	-91
NS10165R	5	3	1	-91	-91	-91	0	-91	-91
NS10165R	6	3	1	-91	-91	-91	2	2	2
NS10167T	1	3	1	-91	-91	-91	4	-91	-91
NS10167T	2	3	1	-91	-91	-91	1	-91	-91
NS10167T	3	3	1	-91	-91	-91	0	-91	-91
NS10167T	4	3	1	-91	-91	-91	1	-91	-91
NS10167T	5	3	1	-91	-91	-91	1	-91	-91
NS10167T	6	3	1	-91	-91	-91	1	-91	-91
NS10167T	7	3	1	-91	-91	-91	1	-91	-91
NS10168V	1	2	1	-91	-91	-91	4	-91	-91
NS10168V	2	2	1	-91	-91	-91	0	-91	-91
NS10168V	3	2	1	-91	-91	-91	1	-91	-91
NS10168V	4	2	1	-91	-91	-91	0	-91	-91
NS10168V	5	2	1	-91	-91	-91	1	-91	-91
NS10170F	1	3	1	-91	-91	-91	4	-91	-91
NS10170F	2	3	1	-91	-91	-91	1	-91	-91
NS10170F	3	3	1	-91	-91	-91	1	-91	-91
NS10170F	4	3	1	-91	-91	-91	0	-91	-91
NS10170F	5	3	1	-91	-91	-91	1	-91	-91
NS10170F	6	3	1	-91	-91	-91	1	-91	-91
NS10171G	1	1	1	-91	-91	-91	4	-91	-91
NS10171G	2	1	1	-91	-91	-91	1	-91	-91
NS10171G	3	-91	-91	-91	-91	-91	0	-91	-91
NS10171G	4	1	1	-91	-91	-91	6	-91	-91
NS10171G	5	1	1	-91	-91	-91	1	-91	-91
NS10171G	6	1	1	-91	-91	-91	0	-91	-91
