NSID	W4JHAct	W4ActivityIteration	W4JHStY	W4JHStM	W4JHStMDK
NS14702R	1	1	2006	9	-91
NS14707X	8	1	2006	1	-91
NS14734C	1	1	2006	9	-91
NS14749C	1	1	2006	9	-91
NS14754R	5	1	2006	10	-91
NS14754R	5	2	2006	10	-91
NS14754R	5	3	2006	10	-91
NS14754R	1	4	2006	9	-91
NS14791R	7	1	2006	10	-91
NS14791R	1	2	2006	9	-91
NS14793T	2	1	2006	10	-91
NS14793T	9	2	2006	7	-91
NS14806Y	1	1	2006	9	-91
NS14815R	9	1	2006	9	-91
NS14833D	5	1	2006	8	-91
NS14845A	2	1	2006	6	-91
NS14862L	2	1	2006	9	-91
NS14878M	1	1	2006	9	-91
NS14912Q	9	1	2006	6	-91
NS14924M	1	1	2006	9	-91
NS14929S	1	1	2006	9	-91
NS14958A	5	1	2007	3	-91
NS14958A	4	2	2006	10	-91
NS14958A	1	3	2006	9	-91
NS14966S	1	1	2006	9	-91
NS14972H	5	1	2006	7	-91
NS15009E	1	1	2006	9	-91
NS15010P	1	1	2006	9	-91
NS15029T	2	1	2006	9	-91
NS15050S	1	1	2006	9	-91
NS15056Z	5	1	2006	7	-91
NS15057A	1	1	2006	12	-91
NS15057A	1	2	2006	9	-91
NS15065S	5	1	2006	7	-91
NS15071H	8	1	2006	7	-91
NS15076N	5	1	2006	7	-91
NS15079R	7	1	2006	9	-91
NS15081C	1	1	2006	9	-91
NS15086H	2	1	2006	10	-91
NS15086H	1	2	2006	9	-91
NS15093Z	2	1	2006	8	-91
NS15094A	2	1	2007	5	-91
NS15094A	1	2	2006	9	-91
NS15097D	1	1	2006	9	-91
NS15111S	2	1	2006	7	-91
NS15118A	5	1	2006	11	-91
NS15118A	9	2	2006	7	-91
NS15143D	2	1	2006	8	-91
NS15145F	4	1	2006	9	-91
NS15150V	7	1	-1	-91	2
NS15150V	1	2	2006	1	-91
NS15156B	1	1	2006	9	-91
NS15162R	2	1	2006	4	-91
NS15163S	7	1	2006	9	-91
NS15178S	10	1	2006	10	-91
NS15202B	9	1	2006	7	-91
NS15213X	1	1	2006	9	-91
NS15216A	1	1	2006	9	-91
NS15232K	1	1	2006	9	-91
NS15238R	2	1	2007	2	-91
