NSID	W4JHAct	W4ActivityIteration	W4JHStY	W4JHStM	W4JHStMDK
NS25784F	10	3	2006	9	-91
NS25791X	1	1	2006	9	-91
NS25803A	5	1	2006	9	-91
NS25822N	5	1	2006	7	-91
NS25824Q	2	1	2006	9	-91
NS25829W	2	1	2006	12	-91
NS25829W	5	2	2006	10	-91
NS25829W	1	3	-1	-91	1
NS25840A	1	1	2006	9	-91
NS25847H	1	1	2006	9	-91
NS25848J	5	1	2006	7	-91
NS25855A	1	1	2006	9	-91
NS25861Q	10	1	-1	-91	1
NS25864T	1	1	2006	9	-91
NS25867X	1	1	2006	7	-91
NS25876Q	1	1	2006	9	-91
NS25887L	5	1	2007	5	-91
NS25887L	2	2	2006	7	-91
NS25893B	8	1	-1	-91	1
NS25909J	10	1	2007	5	-91
NS25909J	1	2	2006	9	-91
NS25910T	1	1	2006	9	-91
NS25919D	2	1	2006	7	-91
NS25933L	4	1	2007	1	-91
NS25933L	4	2	2006	9	-91
NS25938R	8	1	2006	8	-91
NS25945H	10	1	2006	9	-91
NS25947K	2	1	2006	9	-91
NS25969B	1	1	2006	9	-91
NS25979W	1	1	2006	9	-91
NS25988P	7	1	2006	9	-91
NS25989Q	5	1	2006	7	-91
NS26006G	6	1	2006	6	-91
NS26012X	5	1	2007	4	-91
NS26012X	1	2	2006	9	-91
NS26027X	1	1	2006	1	-91
NS26029Z	1	1	2006	9	-91
NS26030J	-92	1	-91	-91	-91
NS26049N	7	1	2006	7	-91
NS26050Y	1	1	2006	9	-91
NS26052A	1	1	2006	9	-91
NS26058G	2	1	2006	11	-91
NS26058G	5	2	2006	6	-91
NS26077V	1	1	2006	9	-91
NS26081H	1	1	2006	9	-91
NS26102E	1	1	2006	9	-91
NS26106J	1	1	2006	9	-91
NS26121S	7	1	2006	9	-91
