NSID	W8HISTID	W8HIST	W8WORKHRSP	W8STUDYHRSP	W8USUALP	W8SICKHRSP	W8HISTSTPM	W8HISTSTPY	W8DACTIVITYP
NS10174K	4	5	-1	1	3	-1	9	2009	6
NS10175L	1	1	1	-1	-1	-1	5	2008	1
NS10176M	1	5	-1	1	3	-1	9	2009	6
NS10176M	2	10	-1	-1	-1	-1	3	2009	14
NS10176M	3	5	-1	1	2	-1	9	2006	6
NS10177N	1	1	1	-1	-1	-1	7	2008	1
NS10177N	2	1	1	-1	-1	-1	6	2007	1
NS10177N	3	5	-1	1	1	-1	9	2001	6
NS10189K	1	4	-1	-1	-1	-1	6	2016	5
NS10189K	2	1	1	-1	-1	-1	8	2014	1
NS10189K	3	4	-1	-1	-1	-1	6	2014	5
NS10189K	4	1	1	-1	-1	-1	5	2012	1
NS10189K	5	5	-1	1	3	-1	9	2010	6
NS10190V	1	1	1	-1	-1	-1	6	2010	1
NS10190V	2	5	-1	1	2	-1	9	2006	6
NS10191W	1	5	-1	1	3	-1	7	2009	6
NS10191W	2	5	-1	1	1	-1	9	2001	6
NS10197C	1	1	2	-1	-1	-1	10	2007	2
NS10198D	1	5	-1	1	2	-1	9	2007	6
NS10198D	2	5	-1	1	1	-1	1	2006	6
NS10201X	1	1	1	-1	-1	-1	5	2009	1
NS10205B	1	1	1	-1	-1	-1	9	2006	1
NS10206C	1	1	1	-1	-1	-1	-9	-9	1
NS10213T	1	5	-1	1	3	-1	9	2008	6
NS10215W	1	9	-1	-1	-1	-1	10	2014	13
NS10215W	2	1	1	-1	-1	-1	4	2012	1
NS10215W	3	5	-1	1	3	-1	9	2008	6
NS10215W	4	5	-1	1	1	-1	10	1995	6
NS10217Y	1	1	2	-1	-1	-1	8	2013	2
NS10217Y	2	5	-1	1	3	-1	9	2010	6
NS10217Y	3	5	-1	1	2	-1	9	2007	6
NS10218Z	1	1	1	-1	-1	-1	2	2013	1
NS10218Z	2	5	-1	1	3	-1	9	2008	6
NS10219A	1	5	-1	1	3	-1	9	2010	6
NS10222M	1	1	1	-1	-1	-1	11	2011	1
NS10222M	2	1	1	-1	-1	-1	10	2007	1
NS10225Q	1	10	-1	-1	-1	-1	6	2013	14
NS10225Q	2	10	-1	-1	-1	-1	6	2013	14
NS10225Q	3	5	-1	1	3	-1	9	2012	6
NS10225Q	4	1	2	-1	-1	-1	10	2011	2
NS10225Q	5	5	-1	1	3	-1	9	2009	6
NS10227S	1	1	1	-1	-1	-1	1	2012	1
NS10227S	2	1	1	-1	-1	-1	10	2010	1
NS10227S	3	1	1	-1	-1	-1	2	2009	1
NS10232G	1	5	-1	1	3	-1	9	2008	6
NS10232G	2	5	-1	1	2	-1	9	2006	6
NS10239P	1	4	-1	-1	-1	-1	1	2012	5
NS10239P	2	6	1	-1	-1	-1	8	2008	12
NS10245E	1	5	-1	1	3	-1	9	2009	6
NS10246F	1	5	-1	1	3	-1	9	2012	6
NS10246F	2	1	2	-1	-1	-1	9	2010	2
NS10246F	3	5	-1	1	2	-1	9	2001	6
NS10251V	1	1	1	-1	-1	-1	8	2006	1
NS10252W	1	1	1	-1	-1	-1	8	2012	1
NS10252W	2	5	-1	1	3	-1	9	2008	6
NS10253X	1	1	1	-1	-1	-1	6	2014	1
NS10253X	2	2	1	-1	-1	-1	6	2013	3
NS10253X	3	1	1	-1	-1	-1	7	2009	1
NS10255Z	1	1	1	-1	-1	-1	8	2015	1
NS10255Z	2	1	1	-1	-1	-1	10	2013	1
NS10255Z	3	4	-1	-1	-1	-1	2	2013	5
NS10255Z	4	1	1	-1	-1	-1	10	2012	1
NS10255Z	5	-8	-1	-1	-1	-1	-8	-8	-8
NS10256A	1	1	1	-1	-1	-1	1	2012	1
NS10256A	2	1	2	-1	-1	-1	11	2007	2
NS10258C	1	1	1	-1	-1	-1	9	2009	1
NS10259D	1	1	1	-1	-1	-1	-8	-8	1
NS10262Q	1	1	1	-1	-1	-1	3	2011	1
NS10262Q	2	1	1	-1	-1	-1	10	2010	1
NS10262Q	3	10	-1	-1	-1	-1	8	2010	14
NS10262Q	4	1	1	-1	-1	-1	8	2009	1
NS10265T	1	1	1	-1	-1	-1	3	2014	1
NS10265T	2	1	1	-1	-1	-1	12	2012	1
NS10265T	3	5	-1	1	3	-1	9	2011	6
NS10265T	4	5	-1	1	3	-1	9	2008	6
NS10266V	1	1	2	-1	-1	-1	9	2012	2
NS10266V	2	5	-1	1	3	-1	9	2009	6
NS10270H	1	1	1	-1	-1	-1	8	2015	1
NS10270H	2	5	-1	1	3	-1	7	2013	6
NS10270H	3	5	-1	1	3	-1	9	2009	6
NS10281D	1	1	1	-1	-1	-1	3	2015	1
NS10281D	2	1	1	-1	-1	-1	12	2014	1
NS10281D	3	1	1	-1	-1	-1	9	2014	1
NS10281D	4	5	-1	1	3	-1	9	2008	6
NS10281D	5	5	-1	1	1	-1	9	2001	6
NS10287K	1	1	2	-1	-1	-1	11	2013	2
NS10287K	2	4	-1	-1	-1	-1	10	2013	5
NS10287K	3	1	2	-1	-1	-1	8	2013	2
NS10287K	4	4	-1	-1	-1	-1	7	2013	5
NS10287K	5	1	2	-1	-1	-1	8	2012	2
NS10287K	6	5	-1	1	3	-1	9	2008	6
NS10288L	1	1	1	-1	-1	-1	6	2011	1
NS10288L	2	5	-1	1	3	-1	9	2008	6
NS10290X	1	1	2	-1	-1	-1	7	2007	2
NS10291Y	1	1	1	-1	-1	-1	6	2014	1
NS10291Y	2	10	-1	-1	-1	-1	1	2013	14
NS10291Y	3	1	2	-1	-1	-1	5	2008	2
NS10293A	1	1	1	-1	-1	-1	1	2008	1
NS10293A	2	1	2	-1	-1	-1	2	2007	2
NS10293A	3	1	1	-1	-1	-1	6	2006	1
NS10294B	1	1	1	-1	-1	-1	10	2011	1
NS10294B	2	4	-1	-1	-1	-1	7	2011	5
NS10294B	3	5	-1	1	3	-1	8	2008	6
NS10295C	1	1	1	-1	-1	-1	7	2012	1
NS10295C	2	1	1	-1	-1	-1	10	2011	1
NS10295C	3	1	2	-1	-1	-1	4	2011	2
NS10295C	4	5	-1	1	3	-1	9	2008	6
NS10298F	1	1	1	-1	-1	-1	11	2013	1
NS10298F	2	1	1	-1	-1	-1	1	2013	1
NS10298F	3	1	2	-1	-1	-1	7	2011	2
NS10298F	4	5	-1	1	3	-1	9	2009	6
NS10298F	5	5	-1	1	2	-1	9	2007	6
NS10298F	6	5	-1	1	1	-1	9	2006	6
NS10299G	1	1	1	-1	-1	-1	9	2012	1
NS10299G	2	5	-1	1	3	-1	9	2008	6
NS10307F	1	10	-1	-1	-1	-1	2	2015	14
NS10307F	2	1	1	-1	-1	-1	9	2014	1
NS10307F	3	1	1	-1	-1	-1	5	2014	1
NS10307F	4	1	1	-1	-1	-1	1	2014	1
NS10307F	5	1	1	-1	-1	-1	8	2013	1
