NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10060J	4	2	-5	-1	5	1	6	2008
NS10060J	5	2	2006	-2	4	1	6	2007
NS10061K	1	2	2006	-2	4	1	7	2007
NS10062L	1	2	-7	-7	7	1	6	2010
NS10062L	2	2	-6	-1	6	1	6	2009
NS10062L	3	2	-5	-1	5	1	6	2008
NS10062L	4	2	2006	-2	4	1	6	2007
NS10063M	1	2	-7	-7	7	1	6	2010
NS10063M	2	2	2009	8	6	1	9	2009
NS10063M	3	2	2007	10	6	1	9	2009
NS10063M	4	2	2006	9	5	1	6	2008
NS10063M	5	2	2006	10	4	1	7	2007
NS10063M	6	2	2006	9	4	1	7	2007
NS10064N	1	1	2006	3	5	1	7	2008
NS10064N	2	-1	-1	-1	4	0	-1	-1
NS10065P	1	1	2016	1	8	1	1	2016
NS10065P	2	1	2008	8	8	1	1	2016
NS10065P	3	1	-7	-7	7	1	6	2010
NS10065P	4	1	-6	-1	6	1	5	2009
NS10065P	5	2	2006	8	5	1	7	2008
NS10065P	6	2	2006	-2	4	1	7	2007
NS10067R	1	1	2015	3	8	1	1	2016
NS10067R	2	1	2014	3	8	1	1	2016
NS10067R	3	1	2011	10	8	1	1	2016
NS10067R	4	1	2011	6	8	1	1	2016
NS10067R	5	1	2008	6	8	1	1	2016
NS10067R	6	2	2006	9	5	1	7	2008
NS10067R	7	2	2006	-2	4	1	7	2007
NS10068S	1	1	2015	3	8	1	3	2016
NS10068S	2	1	2006	-8	8	1	3	2016
NS10070D	1	2	2006	-2	4	1	6	2007
NS10072F	1	3	2016	3	8	1	4	2016
NS10072F	2	1	2015	3	8	1	4	2016
NS10072F	3	3	2015	1	8	1	4	2016
NS10072F	4	1	2014	11	8	1	4	2016
NS10072F	5	3	2013	10	8	1	4	2016
NS10072F	6	1	2013	8	8	1	4	2016
NS10072F	7	3	2012	5	8	1	4	2016
NS10072F	8	2	2008	9	8	1	4	2016
NS10072F	9	2	-7	-7	7	1	7	2010
NS10072F	10	2	2008	9	6	1	6	2009
NS10072F	11	2	2006	9	5	1	7	2008
NS10072F	12	2	2006	-2	4	1	6	2007
NS10074H	1	1	2013	9	8	1	1	2016
NS10074H	2	2	2012	9	8	1	1	2016
NS10074H	3	1	2011	10	8	1	1	2016
NS10074H	4	1	2011	7	8	1	1	2016
NS10074H	5	2	2008	9	8	1	1	2016
NS10074H	6	2	-7	-7	7	1	6	2010
NS10074H	7	2	2008	9	6	1	6	2009
NS10074H	8	2	-5	-1	5	1	6	2008
NS10074H	9	2	2006	-2	4	1	6	2007
NS10076K	1	1	2011	11	8	1	11	2015
NS10076K	2	2	2008	9	8	1	11	2015
NS10076K	3	2	-7	-7	7	1	5	2010
NS10076K	4	2	2008	9	6	1	5	2009
NS10076K	5	2	2006	9	5	1	6	2008
NS10076K	6	2	2006	-2	4	1	7	2007
NS10078M	1	1	2014	12	8	1	11	2015
