NSID	W1mainres	W1secores	W1histres	W2mainres	W2secores	W2histres	W1motherID	W1fatherID	W2motherID	W2fatherID	W1sampborHS	W1sampbo2HS	W2sampborHS	W2sampbo2HS	W1nurschHS	W1numsch	W1inyrmov	W2numsch	W2inyrmov	W1curparyHS	W1eversepHS	W1expart2HS	W1expart1HS	W1livesepHS	W2curparyHS	W2eversepHS	W2expart2HS	W2expart1HS	W2livesepHS	W1everspf	W1WhenSpf	W1yearsspf	W1Partners	W2everspf	W2WhenSpf	W2yearsspf	W2Partners	SpfBth	mbirthag	birthwb	BirthWa1	BirthWa2	bwtkg	birthw2	birthw3	wksearly	wtcheck	Femps5	Memps5	MRetwrk	MRetptft	W1duruntotMP	W1duruntot5MP	W1duruntot10MP	W1duruntotSP	W1duruntot5SP	W1duruntot10SP	W1duruntotmum	W1duruntot5mum	W1duruntot10mum	W1duruntotdad	W1duruntot5dad	W1duruntot10dad	W2duruntotMP	W2duruntot5MP	W2duruntot10MP	W2duruntotSP	W2duruntot5SP	W2duruntot10SP	W2duruntotmum	W2duruntot5mum	W2duruntot10mum	W2duruntotdad	W2duruntot5dad	W2duruntot10dad
NS14268E	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	5	2	2	-91	2	16	2	2	-91	2	1	0	11	1	1	0	11	1	1	3	-91	5	15	2.69	1	-91	0	0	-98	10	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS19446W	2	3	3	2	3	3	3	2	3	2	1	-91	-91	-91	1	3	0	3	0	17	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	5	6	2.44	2	3	3	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15133J	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	6	8	2.95	3	1	0	0	1	10	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS23423P	2	3	3	2	3	3	3	2	3	2	-99	-99	-99	-99	-99	2	0	2	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	3	-99	-99	-99	-99	-99	-99	-99	-99	1	-98	-98	-98	0	0	0	-99	-99	-99	-99	-99	-99	0	0	0	0	0	0	-99	-99	-99	-99	-99	-99	0	0	0
NS11913E	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	3	0	3	0	18	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	2	-91	6	9	2.98	3	1	0	0	-98	10	12	2	0	0	0	-99	-99	-99	0	0	0	-99	-99	-99	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94
NS16312T	3	-98	3	3	2	3	3	2	3	2	1	-91	-91	-91	1	3	0	3	0	11	2	2	-91	2	-91	1	2	-91	2	-94	0	-94	1	-94	0	-94	1	1	1	-91	7	1	3.2	3	1	0	0	-98	10	9	2	0	0	0	-98	-98	-98	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94	0	0	0	-94	-94	-94
NS20418N	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	4	-91	7	9	3.43	1	-91	0	0	1	10	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS17514W	2	3	2	2	3	2	2	3	2	3	1	-91	-91	-91	1	2	0	2	0	20	2	2	-91	2	-91	2	-91	-91	2	0	-91	0	-91	0	-91	0	-91	0	3	-91	2	-91	.91	2	12	12	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS19823M	3	2	3	3	2	3	3	2	3	2	1	-91	-91	-91	1	3	0	3	0	2	2	1	-91	2	-91	2	-91	-91	2	1	8	5	1	1	8	5	1	0	4	-91	8	13	4	3	1	0	0	-98	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS15611D	2	-98	2	2	-98	2	2	-98	2	-98	1	-91	-91	-91	1	2	0	2	0	-91	-91	-91	-91	2	-91	-91	-91	-91	2	-93	-93	-93	-93	-93	-93	-93	-93	-93	3	-91	6	8	2.95	2	1	1	0	-98	10	-91	0	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98	0	0	0	-98	-98	-98
