NSID	SAMPPSU	SAMPSTRATUM	DESIGNWEIGHT	MAINBOOST	W1OUTCOME	W1FINWT	W2OUTCOME	W2FINWT	W3OUTCOME	W3FINWT	W2TOW3NRWT	W4OUTCOME	W4WEIGHT_MAIN_BOOST	W4WEIGHT_MAIN	W5OUTCOME	W5FINWT_CROSS	W6OUTCOME	W6FINWT_CROSS	W6LSYPEWT	W6LSYPEW4WT	W7OUTCOME	W7_LSYPE_WT	W7FINWT	W7_LSYPE_WT_SKIPONLY	W8OUTCOME	W8FINWT	W9OUTCOME	W9FINWT	DATA_AVAILABILITY
NS18065E	11402	114	.370173169348	1	1	.3	1	.32	1	.3	.95	1	.2711	.2614	1	.26	3	-1	-1	-1	-1	-1	-1	-1	1	.24	2	-1	1
NS18066F	12328	123	1.366287179763	1	1	1.27	1	1.17	1	1.15	.98	1	1.1436	1.1086	1	1.08	1	1.01	1.01	-1	1	.95646	.95612	-1	5	-1	1	.92	1
NS18067G	11410	114	.370173169348	1	1	.3	1	.29	1	.28	.97	1	.2775	.2675	3	-1	3	-1	-1	-1	-1	-1	-1	-1	1	.37	1	.39	1
NS18068H	11423	114	1.366287179763	1	1	1.25	1	1.2	1	1.15	.96	1	1.1221	1.0865	1	1.09	1	1.01	1.01	-1	1	.94361	.94328	-1	1	.87	1	.79	1
NS18069J	13202	132	.910858119842	1	1	.95	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	3	-1	1
NS18070T	11904	119	.365572593787	1	1	.37	1	.35	1	.33	.94	1	.3109	.303	1	.29	1	.27	.27	-1	1	.24844	.24835	-1	1	.26	1	.25	1
NS18071V	12321	123	1.366287179763	1	1	1.27	1	1.18	1	1.18	1	1	1.2732	1.2342	1	1.2	1	1.24	1.24	-1	1	1.2305	1.23007	-1	1	1.71	2	-1	1
NS18072W	11011	110	.370173169348	1	1	.4	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.39	1	.37	1
NS18073X	13704	137	.151981943324	1	1	.18	1	.18	1	.18	.99	1	.2088	.2044	1	.21	1	.22	.22	-1	1	.22654	.22646	-1	1	.24	1	.27	1
NS18074Y	13106	131	.910858119842	1	1	.88	1	.86	1	.86	.99	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1
NS18075Z	13115	131	.243715062525	1	1	.27	1	.28	1	.31	1.09	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS18076A	11002	110	1.366287179763	1	1	1.48	1	1.38	1	1.36	.98	1	1.3061	1.2902	1	1.22	1	1.16	1.16	-1	1	1.1377	1.13731	-1	1	1.18	1	1.13	1
NS18077B	12022	120	1.366287179763	1	1	1.45	1	1.96	1	1.94	.98	1	2.3107	2.2366	3	-1	5	-1	-1	-1	-1	-1	-1	-1	6	-1	5	-1	1
NS18078C	657	48	-1	2	-1	-1	-1	-1	-1	-1	-1	1	.271	0	1	.35	1	.34	.34	-1	1	.32413	.32401	-1	1	.3	5	-1	1
NS18079D	11309	113	.227972914986	1	1	.18	1	.22	1	.21	.96	1	.2604	.2503	1	.28	1	.3	.3	-1	3	-1	-1	-1	1	.33	5	-1	1
NS18080N	10843	108	1.366287179763	1	1	1.23	1	1.16	1	1.09	.94	1	1.1551	1.1191	1	1.07	1	1.02	1.02	-1	1	1.05445	1.05408	-1	1	.89	1	.84	1
NS18081P	10403	104	1.366287179763	1	1	1.24	1	1.26	1	1.28	1.02	1	1.481	1.4339	1	1.77	3	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1
NS18082Q	12319	123	.294685360398	1	1	.26	1	.27	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18083R	10909	109	.296052729324	1	1	.38	1	.45	1	.49	1.08	1	.4111	.5255	1	.41	1	.41	.41	-1	1	.45402	.45386	-1	1	.54	1	.58	1
NS18084S	11407	114	1.366287179763	1	1	1.28	1	1.3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS18085T	13107	131	.910858119842	1	1	.88	1	.85	1	.83	.97	1	.8176	.792	1	.78	1	.82	.82	-1	1	.83776	.83747	-1	1	1.39	2	-1	1
NS18086V	13121	131	.910858119842	1	1	.91	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18087W	12302	123	1.366287179763	1	1	1.27	1	1.16	1	1.14	.98	1	1.1442	1.1092	1	1.08	1	1.05	1.05	-1	1	.99778	.99743	-1	1	.89	1	.82	1
NS18088X	11441	114	1.366287179763	1	1	1.32	1	1.35	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS18089Y	13801	138	.197368493891	1	1	.29	1	.32	1	.37	1.14	1	.2831	.362	1	.28	1	.3	.3	-1	3	-1	-1	-1	5	-1	-1	-1	1
NS18090H	11757	117	1.366287179763	1	1	1.27	1	1.27	1	1.26	.99	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS18091J	11016	110	.370173169348	1	1	.39	1	.41	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	1	.38	1
NS18092K	12343	123	1.366287179763	1	1	1.27	1	1.17	1	1.15	.98	1	1.1781	1.1421	1	1.11	1	1.08	1.08	-1	1	1.0548	1.05444	-1	1	1.22	1	1.11	1
NS18093L	12543	125	1.366287179763	1	1	1.27	1	1.16	1	1.11	.95	1	1.1575	1.1224	1	1.12	1	1.13	1.13	-1	1	1.03269	1.03233	-1	1	.8	1	.74	1
NS18094M	10429	104	1.366287179763	1	1	1.24	1	1.22	1	1.24	1.01	1	1.4116	1.3667	1	1.41	1	1.42	1.42	-1	1	1.3707	1.37022	-1	1	1.32	1	1.46	1
NS18095N	11401	114	1.366287179763	1	1	1.32	1	1.36	1	1.32	.97	1	1.5163	1.4682	1	1.47	1	1.93	1.93	-1	1	2.58443	2.58353	-1	2	-1	2	-1	1
NS18096P	10421	104	.370173169348	1	1	.28	1	.26	1	.25	.95	1	.2649	.2553	1	.26	1	.28	.28	-1	3	-1	-1	-1	1	.36	2	-1	1
NS18097Q	13102	131	.910858119842	1	1	.88	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
NS18098R	11444	114	.421069155828	1	1	.37	1	.38	1	.38	.99	1	.3993	.3859	1	.39	1	.4	.4	-1	1	.38522	.38508	-1	1	.46	1	.57	1
NS18099S	12015	120	1.366287179763	1	1	1.38	1	1.4	1	1.34	.96	1	1.4058	1.3607	3	-1	2	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
