NSID	W8CHID	W8NCHSEX	W8NCHDOBM	W8NCHDOBY	W8NCHRAGE	W8DNCHRAGE	W8NCHREL	W8NCHRELP	W8PARNAME	W8PARDOBM	W8PARDOBY	W8PARAGE	W8DPARAGE	W8NCHPRES	W8NCHEVLV	W8CHDLIVE	W8ABCHG91	W8COPA	W8SEOF
NS11611W	5	1	-9	-9	-9	-9	-9	-1	-1	-1	-1	-1	-1	3	1	-9	1	-1	-1
NS11611W	6	1	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
NS11611W	7	1	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
NS11611W	8	1	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
NS11611W	9	1	-9	-9	-9	-9	1	-1	-1	-9	-9	-9	-9	3	1	1	1	-1	-1
NS11613Y	1	1	4	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11618D	1	2	10	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11628Y	1	1	12	2014	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11632L	1	1	4	2008	-1	8	1	-1	-1	1	1985	-1	31	1	-1	-1	-1	1	3
NS11632L	2	1	9	2009	-1	6	1	-1	-1	1	1985	-1	31	1	-1	-1	-1	1	3
NS11632L	3	2	9	2015	-1	0	1	-1	-1	1	1985	-1	31	1	-1	-1	-1	1	3
NS11636Q	1	2	1	2008	-1	7	1	-1	1	-1	-1	-1	-1	2	-1	-1	2	1	1
NS11650Y	1	1	2	2014	-1	2	1	-1	-1	2	1991	-1	25	2	-1	-1	3	1	1
NS11660S	1	1	5	2009	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS11660S	2	1	10	2013	-1	2	1	-1	11	8	1992	-1	23	1	-1	-1	-1	1	2
NS11667A	1	2	10	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11667A	2	2	12	2013	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11667A	3	1	3	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11675S	1	1	5	2007	-1	9	1	-1	-9	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS11675S	2	1	6	2011	-1	5	1	-1	-9	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS11675S	3	2	1	2015	-1	1	1	-1	-9	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS11678W	1	1	9	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11682J	1	1	6	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11682J	2	1	12	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11683K	1	1	7	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS11685M	1	1	10	2010	-1	5	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS11685M	2	1	3	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS11694F	1	1	11	2009	-1	6	1	2	-9	-1	-1	-1	-1	2	-1	-1	2	1	1
NS11694F	2	2	11	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
