NSID	W9RELID	W9NRANY	W9NRLIVEBM	W9NRLIVEBY	W9NRSEX	W9NRDOBM	W9NRDOBY	W9NRAGE	W9CRNOWMA	W9CRWHENMAM	W9CRWHENMAY	W9CRSLIVE	W9CRLIVEPA	W9CRHOWEND	W9WHYEND0A	W9WHYEND0B	W9WHYEND0C	W9WHYEND0D	W9WHYEND0E	W9WHYEND0F	W9WHYEND0G	W9CRSTOPM	W9CRSTOPY	W9CRDIVOR	W9CRDIVWHM	W9CRDIVWHY
NS10128R	2	1	-8	2017	1	-9	-9	40	3	-1	-1	2	-1	1	2	2	2	2	2	1	2	12	2019	-1	-1	-1
NS10128R	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10130C	2	1	7	2020	2	-9	1993	28	3	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10131D	2	1	-9	-9	1	-9	-9	-9	1	-9	2022	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10135H	2	1	6	2021	2	3	1986	36	1	6	2022	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10137K	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10138L	2	1	3	2017	1	9	1987	34	1	3	2017	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10139M	2	1	4	2017	1	11	1988	33	3	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10141Y	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10142Z	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10143A	1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	2	-1	1	1	2	2	2	2	2	2	9	2016	-1	-1	-1
NS10143A	2	1	10	2017	1	8	1987	35	1	6	2021	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
