NSID	W8BENID	W8BENA	W8BENP2	W8BENA3	W8BENW
NS11618D	21	82	2	-1	18
NS11628Y	21	88	2	-1	20
NS11632L	2	70	4	2	35
NS11632L	21	190	4	4	47
NS11632L	23	170	1	-1	170
NS11648M	7	300	2	-1	69
NS11660S	21	130	4	4	32
NS11660S	22	350	4	4	87
NS11660S	23	350	4	4	87
NS11660S	28	300	2	-1	69
NS11660S	29	250	4	12	4
NS11665Y	4	307	2	-1	70
NS11667A	21	500	2	-1	115
NS11667A	23	538	2	-1	124
NS11671N	4	251	4	2	125
NS11671N	28	213	2	-1	49
NS11671N	29	890	3	-1	17
NS11675S	2	80	4	2	40
NS11675S	21	190	4	4	47
NS11675S	23	170	1	-1	170
NS11675S	28	80	1	-1	80
NS11675S	29	-8	-8	-1	-1
NS11678W	21	20	4	1	20
NS11678W	22	70	4	1	70
NS11678W	23	60	4	1	60
NS11678W	28	412	4	5	95
NS11678W	29	-8	-8	-1	-1
NS11682J	21	-8	-8	-1	-1
NS11682J	22	-8	-8	-1	-1
NS11682J	23	-8	-8	-1	-1
NS11683K	21	82	2	-1	18
NS11683K	22	50	1	-1	50
NS11683K	23	77	1	-1	77
NS11685M	2	60	1	-1	60
NS11685M	21	140	2	-1	32
NS11685M	23	100	1	-1	100
NS11685M	28	123	1	-1	123
NS11685M	29	100	2	-1	23
NS11694F	21	82	4	4	20
NS11694F	22	36	2	-1	8
NS11694F	23	64	1	-1	64
NS11694F	28	-8	2	-1	-1
NS11694F	29	-8	-8	-1	-1
NS11695G	21	80	2	-1	18
NS11707K	22	37	2	-1	8
NS11710X	23	80	2	-1	18
NS11717E	21	20	1	-1	20
NS11719G	1	147	4	2	73
NS11727Z	21	80	4	4	20
NS11731M	21	48	4	1	48
NS11738V	2	109	4	2	54
NS11738V	21	84	4	4	21
NS11738V	23	61	1	-1	61
NS11741G	21	120	4	4	30
NS11775V	18	-8	-8	-1	-1
NS11777X	21	83	4	4	20
NS11801F	1	146	4	2	73
NS11805K	21	74	1	-1	74
NS11805K	23	250	1	-1	250
NS11815E	1	115	1	-1	115
NS11815E	21	40	1	-1	40
NS11815E	23	72	4	1	72
NS11815E	28	-8	-8	-1	-1
NS11815E	29	-8	-8	-1	-1
NS11819J	21	-8	4	1	-1
NS11819J	23	100	1	-1	100
NS11820T	2	142	4	2	71
NS11820T	21	137	4	5	31
NS11820T	23	117	4	1	117
NS11820T	28	387	4	5	89
NS11820T	29	98	4	5	22
NS11823X	2	140	4	2	70
NS11823X	21	30	1	-1	30
NS11823X	23	11	1	-1	11
NS11823X	28	117	1	-1	117
NS11823X	29	-8	-8	-1	-1
NS11840H	21	82	2	-1	18
NS11843L	21	80	2	-1	18
NS11848R	2	143	4	2	71
NS11848R	21	80	4	4	20
NS11848R	23	63	1	-1	63
NS11848R	28	310	4	2	155
NS11848R	29	1209	3	-1	23
NS11863A	7	979	2	-1	226
NS11871S	21	64	1	-1	64
NS11871S	22	40	1	-1	40
NS11871S	23	64	1	-1	64
NS11878A	21	83	4	4	20
NS11878A	22	42	1	-1	42
NS11878A	23	82	4	1	82
NS11879B	21	137	2	-1	31
NS11879B	22	50	1	-1	50
NS11881M	4	220	4	2	110
NS11881M	7	280	4	4	70
NS11881M	28	397	4	5	91
NS11881M	29	0	2	-1	0
NS11883P	1	200	4	4	50
NS11883P	2	26	1	-1	26
NS11883P	28	500	2	-1	115
NS11883P	29	-8	-8	-1	-1
NS11900G	21	132	2	-1	30
NS11900G	23	-9	-9	-1	-1
NS11917J	21	-8	1	-1	-1
NS11922Y	2	89	1	-1	89
NS11922Y	21	134	2	-1	30
NS11922Y	23	115	1	-1	115
NS11922Y	28	95	1	-1	95
NS11922Y	29	100	2	-1	23
NS11923Z	21	20	1	-1	20
NS11923Z	22	130	1	-1	130
NS11923Z	23	0	1	-1	0
NS11923Z	28	0	1	-1	0
NS11923Z	29	0	3	-1	0
NS11962B	2	81	4	2	40
NS11962B	21	21	1	-1	21
NS11962B	23	62	1	-1	62
NS11962B	28	501	2	-1	115
NS11962B	29	-8	-8	-1	-1
NS11981P	21	137	2	-1	31
NS11981P	23	232	1	-1	232
NS11985T	21	80	2	-1	18
NS11985T	22	78	1	-1	78
NS11985T	23	18	1	-1	18
NS11995N	2	120	4	2	60
NS11995N	21	33	1	-1	33
NS11995N	23	117	1	-1	117
NS11995N	28	83	1	-1	83
NS11995N	29	75	2	-1	17
NS12006P	4	328	4	2	164
NS12006P	7	318	2	-1	73
NS12006P	28	0	1	-1	0
NS12006P	29	-8	1	-1	-1
NS12008R	22	10	1	-1	10
NS12015H	7	87	4	5	20
NS12029G	21	20	1	-1	20
NS12029G	22	520	4	4	130
NS12029G	23	0	4	4	0
NS12029G	28	-8	-8	-1	-1
NS12029G	29	-8	-8	-1	-1
NS12037Z	21	33	1	-1	33
NS12037Z	22	110	1	-1	110
NS12037Z	23	70	1	-1	70
NS12037Z	28	64	4	1	64
NS12037Z	29	11	1	-1	11
NS12037Z	30	0	1	-1	0
NS12052H	1	150	4	2	75
NS12054K	21	0	-8	-1	-8
NS12062C	22	30	2	-1	6
NS12078D	21	20	4	1	20
NS12103N	21	81	2	-1	18
NS12103N	22	255	2	-1	58
NS12103N	23	255	2	-1	58
NS12106R	21	43	1	-1	43
NS12106R	23	43	1	-1	43
NS12106R	28	95	1	-1	95
NS12106R	29	-8	-8	-1	-1
NS12124D	29	0	3	-1	0
NS12139D	21	20	1	-1	20
NS12139D	22	140	1	-1	140
NS12139D	23	140	2	-1	32
NS12141P	21	137	2	-1	31
NS12153L	21	80	2	-1	18
NS12153L	23	180	2	-1	41
NS12160C	2	142	4	2	71
NS12160C	21	120	2	-1	27
NS12160C	23	117	4	1	117
NS12163F	21	82	4	4	20
NS12165H	2	140	4	2	70
NS12165H	21	34	1	-1	34
NS12165H	23	115	1	-1	115
