NSID	W4Weight_MAIN_BOOST	W4Weight_MAIN	SampPSU	SampStratum	W4Boost	W4intmonth	W4intyear	W4KidskolMP	W4TmeetFMP	W4TSpeak2MP	W4TStayMP	W4TStayDefMP	W4TappMP	W4TAppDefMP	W4SchlifMP	W4TeawelMP	W4TeacleaMP	W4TeainvMP	W4Extrtu1MP	W4Extrtu2MP0a	W4Extrtu2MP0b	W4Extrtu2MP0c	W4Extrtu2MP0d	W4Extrtu2MP0e	W4Extrtu2MP0f	W4Extrtu2MP0h	W4Extrtu2MP0i	W4Extrtu2MP0j	W4Extrtu2MP0k	W4Extrtu2MP0l	W4Extrtu2MP0m	W4Extrtu2MP0n	W4Extrtu3MP	W4Extrtu4MP	W4Extrtu5MP0a	W4Extrtu5MP0b	W4Extrtu5MP0c	W4Extrtu5MP0d	W4Extrtu5MP0e	W4Extrtu5MP0f	W4Extrtu5MP0g	W4Extrtu5MP0h	W4Extrtu5MP0j	W4Extrtu5MP0k	W4Extrtu5MP0l	W4Extrtu5MP0m	W4Extrtu5MP0n	W4Extrtu6MP	W4HepossMP	W4HePfinMP	W4HeFFinMP	W4HefinMP0a	W4HefinMP0b	W4HefinMP0c	W4HefinMP0d	W4HefinMP0e	W4HefinMP0f	W4HefinMP0g	W4HefinMP0h	W4HEfn2MP0a	W4HEfn2MP0b	W4HEfn2MP0c	W4HEfn2MP0d	W4HEfn2MP0e	W4HEfn2MP0f	W4HEfn2MP0g	W4HEfn2MP0h	W4HEfn2MP0i	W4HEfn2MP0j	W4HEfn2MP0k	W4WhoPreMP0a	W4WhoPreMP0b	W4WhoPreMP0c	W4WhoPreMP0d	W4WhoPreMP0e	W4WhoPreMP0f
NS22525Y	.213735	.20927	551	38	2	9	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	2	0	0	0	0	1	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0
NS21395K	1.766977	1.714181	24	13	2	7	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
NS24023B	1.572586	1.524972	-91	-91	2	7	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	1	0	1	0	0	1	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0
NS16250S	1.238057	1.198785	268	24	2	7	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	1	0	0	1	0
NS25754X	1.73649	1.673548	6	12	2	6	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	2	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NS20108M	.36651	.353186	41	14	2	7	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
NS24422J	1.164241	1.127724	30	14	2	6	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0
NS19523F	.416073	.401863	277	24	2	7	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0
NS17367S	.298209	.300078	111	18	2	7	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	2	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NS11380A	2.041111	1.976557	409	30	2	7	2007	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	0	0	0
