NSID	Samppsu	Sampstratum	W5finwt_cross	W5Mode	W5IntMonth	W5IntYear	W5SameaddHH	W5AnystayHH	W5HHNumHH	W5Hous12HH	W5Hous12BHH	W5Hous12CHH	W5IncarHH	W5FemployYP	W5FempstatYP	W5FsuperYP	W5FmanyYP	W5Fmany2YP	W5FselfYP	W5FmanysYP	W5Fmanys2YP	W5SOCDad	W5SICDad	W5MemployYP	W5MempstatYP	W5MsuperYP	W5MmanyYP	W5Mmany2YP	W5MselfYP	W5MmanysYP	W5Mmanys2YP	W5SOCMum	W5SICMum	W5mopres	W5fapres	W5agebd5mum	W5agebd5dad	W5agebd10mum	W5agebd10dad	w5wrkagemum	w5wrkagedad	W5empsmum	W5empsdad	W5Cempszmum	W5Cempszdad	w5Cnsseccatmum	w5Cnsseccatdad	W5Cnssecmum	W5Cnssecdad
NS25641X	10603	106	1.38894557021407	2	9	2008	1	-91	-91	1	1	-91	-91	1	1	1	2	-91	-91	-91	-91	11	75	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	9	9	4	4	0	1	0	1	-91	4	14.3	2	8	1
NS25642Y	10432	104	.25752124260791	3	6	2008	1	-91	-91	1	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	-1	2	-91	-91	-91	32	80	1	1	7	11	3	5	1	0	1	0	6	-91	4.1	14.3	2	8
NS25643Z	12807	128	.968766033227065	3	6	2008	3	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	72	52	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	6	6	3	3	1	1	0	1	-91	7	14.3	7.2	8	3
NS25644A	10313	103	2.37064808695121	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	24	74	1	1	1	1	-91	-91	-91	-91	24	74	1	1	7	6	3	3	1	1	1	1	6	6	3.1	3.1	1	1
NS25646C	11711	117	1.05143976119648	1	7	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	12	52	1	2	-91	-91	-91	1	1	-91	12	74	1	1	5	4	2	2	1	1	2	2	3	2	9.1	8.1	4	4
NS25648E	11305	113	1.47612508413851	2	9	2008	2	2	3	2	-91	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-98	-98	3	3	1	1	1	1	-98	-98	-98	-98	-98	-98	-98	-98
NS25651R	11704	117	.91270512000114	3	6	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	41	74	1	1	2	3	-91	-91	-91	-91	11	65	1	1	6	6	3	3	1	1	1	2	4	3	2	9.1	1	4
NS25653T	12320	123	1.35519061455782	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	2	1	-91	-91	-91	-91	-95	51	1	1	2	2	-91	-91	-91	-91	53	45	1	1	5	5	2	2	1	1	1	1	7	-94	11.1	16	5	-94
NS25654V	12403	124	1.11774286735457	2	8	2008	2	1	-91	1	2	-91	-91	1	1	-1	2	-91	-91	-91	-91	-95	-95	1	1	1	-1	-1	-91	-91	-91	35	75	1	2	5	-91	2	-91	1	-91	1	1	6	-94	4.1	16	2	-94
NS25655W	13604	136	.508957743379973	1	8	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	12	55	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	5	2	2	1	1	0	2	-91	2	14.3	8.1	8	4
