idacirscore_y,w2sexyp,w4ghq12scr,w2ethnicyp,w2fat5yp,bullied,truant,w2hiqualgmp,w3outschbyp,w7heflag,w9danvqh,w9dvnvqh,w9drussell,imdrscore_y,gor_x,marital_status_MP,w4lnpar,w3parqualmp,w4readsyp,w4concenyp,w4noconfyp,drugs,job_attd,w6univyp,w9_income_above_median
0.06,1.0,1.0,1.0,2.0,0.05263,1,2.0,1.0,1,4.0,5.0,3.0,8,5,3.0,1.0,4.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0
0.09,0.0,0.0,1.0,3.0,0.05263,1,4.0,2.0,2,6.0,2.0,3.0,15,9,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0
0.04,1.0,1.0,1.0,2.0,0.10526,1,1.0,2.0,1,4.0,6.0,2.0,10,3,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0
0.06,0.0,0.0,1.0,3.0,0.05263,0,2.0,1.0,2,2.0,5.0,3.0,4,9,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
0.58,0.0,3.0,3.0,2.0,0.0,0,5.0,1.0,2,3.0,6.0,3.0,53,7,2.0,2.0,,4.0,3.0,3.0,0.0,2.0,0.0,0.0
0.08,0.0,5.0,4.0,3.0,0.05263,0,3.0,2.0,1,5.0,5.0,1.0,8,7,2.0,2.0,4.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0
0.09,1.0,0.0,1.0,2.0,0.10526,1,2.0,1.0,2,3.0,5.0,3.0,8,6,3.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0
0.61,0.0,1.0,3.0,3.0,0.0,0,3.0,2.0,1,6.0,6.0,3.0,54,7,2.0,2.0,,3.0,2.0,1.0,0.0,3.0,0.0,0.0
0.61,0.0,2.0,1.0,4.0,0.10526,1,3.0,2.0,2,2.0,3.0,3.0,69,2,2.0,2.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0
0.06,1.0,0.0,1.0,3.0,0.05263,1,2.0,2.0,1,4.0,6.0,2.0,17,4,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
0.41,0.0,0.0,3.0,1.0,0.0,0,,1.0,2,4.0,3.0,2.0,37,7,,2.0,,1.0,1.0,1.0,0.0,3.0,1.0,0.0
0.31,0.0,0.0,1.0,3.0,0.05263,0,5.0,1.0,2,4.0,2.0,3.0,25,8,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0
0.09,0.0,1.0,1.0,3.0,0.05263,0,2.0,2.0,2,3.0,1.0,3.0,6,8,2.0,2.0,4.0,4.0,2.0,2.0,0.0,2.0,0.0,1.0
0.38,0.0,3.0,3.0,,0.0,1,5.0,1.0,1,4.0,5.0,2.0,31,5,2.0,2.0,,2.0,2.0,1.0,0.0,2.0,1.0,1.0
0.3,1.0,0.0,1.0,2.0,0.05263,0,5.0,1.0,1,4.0,3.0,2.0,29,2,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
0.06,0.0,7.0,1.0,2.0,0.05263,0,3.0,1.0,2,4.0,6.0,2.0,6,1,2.0,2.0,4.0,1.0,2.0,4.0,0.0,3.0,0.0,1.0
0.08,1.0,1.0,1.0,1.0,0.05263,1,4.0,2.0,2,3.0,3.0,3.0,9,9,3.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0
